epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,144.6486246369975,142.1610689719587,0.12,0.01,204,403,603,802,1001,1200,1398,1596,1795,1993,2170,2367,2566,2764,2962,3161,3360,3559,3766,3958
1,0,0,83.49225146495631,79.9302888410817,0.14,0.01,206,406,608,805,1008,1208,1407,1591,1790,2003,2162,2357,2556,2754,2966,3154,3353,3559,3764,3956
2,0,0,81.61550899549515,78.13136849043092,0.16,0.01,208,410,613,810,1016,1216,1417,1587,1786,2012,2156,2348,2547,2745,2969,3148,3347,3557,3761,3953
3,0,0,86.37329276532763,83.1135506682725,0.18,0.01,210,413,618,815,1023,1224,1426,1585,1784,2020,2151,2340,2538,2736,2971,3142,3340,3554,3758,3951
4,0,0,86.6125729497095,83.36740677098425,0.2,0.01,212,416,623,821,1031,1233,1435,1585,1784,2026,2147,2331,2528,2726,2972,3137,3334,3551,3756,3949
5,0,0,84.66975713581267,81.34470742329368,0.22,0.01,214,420,628,826,1038,1241,1445,1586,1785,2031,2143,2322,2519,2716,2973,3131,3327,3547,3753,3947
6,0,0,81.59123356422091,78.12660623348809,0.23,0.01,216,424,633,832,1046,1249,1454,1587,1788,2036,2139,2313,2510,2707,2973,3126,3320,3543,3751,3944
7,0,0,78.86614079605074,75.25217371237525,0.25,0.01,218,428,638,839,1054,1257,1464,1590,1791,2040,2136,2305,2501,2697,2973,3121,3314,3538,3748,3942
8,0,0,78.26700531573793,74.58717765348479,0.26,0.01,220,431,644,845,1062,1265,1473,1592,1794,2043,2133,2297,2492,2688,2972,3116,3307,3533,3746,3940
9,0,0,79.8716224589106,76.2348986070356,0.28,0.01,222,435,649,851,1070,1274,1482,1596,1797,2045,2130,2289,2483,2678,2972,3111,3300,3528,3743,3937
10,0,0,80.06867169811174,76.44244733069611,0.29,0.01,224,439,654,858,1078,1282,1492,1600,1801,2045,2127,2281,2474,2669,2971,3106,3294,3523,3740,3935
11,0,0,78.74649049719612,75.08267253397251,0.31,0.01,226,443,660,864,1086,1290,1501,1604,1805,2043,2124,2273,2465,2659,2970,3101,3287,3518,3738,3932
12,0,0,77.64655057635368,73.96007883797009,0.32,0.01,228,447,665,871,1095,1299,1510,1608,1809,2041,2121,2265,2456,2650,2970,3096,3280,3513,3735,3930
