epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,154.03368138170302,152.07281998478558,0.11,0.01,266,528,789,1051,1311,1552,1832,2092,2330,2590,2851,3112,3373,3634,3896
1,0,0,84.21401888380876,80.96851481054225,0.12,0.01,268,533,791,1054,1319,1549,1825,2085,2322,2582,2843,3104,3366,3629,3893
2,0,0,79.7718058942193,76.2551099722176,0.14,0.01,271,537,795,1057,1328,1552,1819,2081,2314,2575,2835,3097,3359,3625,3891
3,0,0,88.25145238270161,85.00678396641352,0.15,0.01,273,542,800,1062,1337,1555,1814,2077,2306,2568,2828,3090,3352,3620,3888
4,0,0,86.40414215331346,83.09701126544805,0.18,0.01,276,547,805,1068,1345,1558,1810,2073,2299,2561,2821,3083,3346,3616,3885
5,0,0,82.10456545143364,78.65677145238355,0.2,0.01,278,551,810,1074,1354,1562,1807,2069,2292,2555,2814,3076,3339,3612,3882
6,0,0,77.87610665846907,74.278765208756,0.21,0.01,281,556,816,1080,1363,1567,1805,2065,2286,2549,2808,3069,3332,3608,3879
7,0.025541495446921192,0.02721320602141941,75.50248016932126,71.81782032619934,0.22,0.01,283,561,822,1087,1372,1572,1805,2061,2280,2544,2801,3063,3325,3603,3876
8,0.03040948951471456,0.03198799334309055,75.31365403680132,71.64135257264131,0.24,0.01,286,566,828,1094,1381,1578,1804,2058,2274,2538,2795,3056,3318,3599,3873
9,0.008370829895903986,0.007531747846574177,76.1647769128716,72.54069439804115,0.25,0.01,289,571,834,1101,1390,1584,1805,2055,2267,2533,2789,3050,3311,3595,3870
10,0.0041856390315890835,0.002980121815858272,76.32533739791951,72.70684394367562,0.26,0.01,291,576,840,1108,1400,1590,1806,2053,2261,2528,2783,3043,3304,3591,3867
11,0.017044502462293942,0.017150465261514314,75.8309405386004,72.18831506574489,0.28,0.01,294,581,846,1115,1409,1597,1807,2051,2255,2523,2777,3037,3297,3587,3864
12,0.04005970272009185,0.04247106511618559,74.93792352882818,71.25237454924748,0.29,0.01,297,586,853,1123,1418,1603,1808,2051,2249,2518,2772,3031,3290,3583,3861
13,0.051444229267901265,0.05507252675756347,74.49222641910363,70.78196743565765,0.3,0.01,300,591,859,1130,1427,1610,1810,2050,2243,2512,2766,3025,3283,3579,3858
14,0.04262138938319715,0.04522840071640688,74.83786511310635,71.14971011887539,0.32,0.01,302,596,866,1137,1436,1617,1812,2051,2237,2508,2760,3019,3276,3574,3855
15,0.0495166648841765,0.0525468152176064,74.5678794947513,70.87650185798535,0.33,0.01,305,601,872,1145,1444,1625,1815,2053,2231,2503,2755,3013,3269,3570,3851
16,0.06632059747555141,0.07075002714111445,73.90578091817311,70.19233133972863,0.34,0.01,308,606,878,1152,1453,1632,1817,2055,2225,2498,2749,3007,3262,3566,3848
17,0.07192099177567601,0.07663391999883606,73.6837957614325,69.96975490569122,0.36,0.01,311,612,885,1160,1462,1639,1820,2058,2219,2493,2744,3001,3254,3561,3845
18,0.07458625513451078,0.07924720758018133,73.57791761756717,69.87067084643778,0.37,0.01,314,617,891,1168,1470,1647,1823,2062,2213,2488,2738,2995,3247,3557,3842
19,0.0900946502613198,0.09596755191341866,72.9587921470915,69.23335765727386,0.38,0.01,317,622,898,1175,1479,1654,1827,2066,2207,2483,2733,2989,3240,3553,3838
20,0.10250136901393703,0.1090311277066186,72.45968032939078,68.73131493245091,0.39,0.01,320,627,904,1183,1487,1662,1830,2070,2201,2478,2727,2983,3233,3548,3835
21,0.11037857579435995,0.11683885866315624,72.14099895668724,68.42949796254719,0.41,0.01,323,633,911,1191,1496,1670,1834,2075,2195,2474,2722,2977,3225,3544,3832
22,0.13200702683177756,0.13980706514798202,71.25865832808495,67.53382037565511,0.42,0.01,326,638,917,1199,1504,1677,1838,2080,2189,2469,2716,2970,3218,3539,3828
