epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.06911532251605845,0.0751454519661211,73.61526689166622,75.0858297945591,0.14,0.001,382,760,1136,1516,1893,2269,2649,3024,3402,3780
1,0.09406933405790774,0.09970954224321937,72.62187022623591,74.0819792421713,0.15,0.001,383,760,1136,1515,1894,2270,2649,3023,3402,3780
2,0.11514226644088188,0.11954598974049224,71.77227373675541,73.26129792351144,0.17,0.001,383,761,1136,1515,1895,2270,2650,3023,3402,3779
3,0.11832324067775957,0.12242204502420728,71.64314506200157,73.1415446027427,0.18,0.001,383,761,1137,1514,1896,2270,2651,3022,3402,3779
4,0.12790804686159074,0.13253315700469603,71.25265894161424,72.71896822592954,0.2,0.001,384,760,1136,1514,1897,2269,2652,3021,3401,3779
5,0.14298304026194475,0.14872661427077938,70.63414279869367,72.03702864564688,0.21,0.001,384,760,1136,1515,1897,2269,2653,3020,3401,3778
6,0.15102693200307415,0.1584534555644448,70.30187419710089,71.62429100870737,0.22,0.001,384,759,1136,1515,1898,2268,2654,3019,3401,3778
7,0.15539692856445175,0.16410194441670967,70.12070717141086,71.383516621924,0.24,0.001,385,759,1136,1515,1899,2267,2654,3018,3401,3778
8,0.16479228461765016,0.17387438498673324,69.72960471304495,70.9650173776224,0.25,0.001,385,758,1136,1515,1899,2267,2655,3018,3401,3778
9,0.17585708308167136,0.18486406598143112,69.26618013819947,70.49142512125145,0.27,0.001,385,758,1136,1515,1900,2266,2656,3017,3401,3777
10,0.18239198677288038,0.19146961596088075,68.99101220901893,70.20522371946407,0.28,0.001,386,757,1136,1515,1901,2265,2656,3016,3401,3777
11,0.18669023517640482,0.19619703932320431,68.80942744048595,69.99967912872887,0.29,0.001,386,756,1137,1515,1902,2265,2657,3015,3401,3777
12,0.19396606087282298,0.20423885312327839,68.5009551712602,69.64863686525028,0.31,0.001,386,756,1137,1516,1902,2265,2657,3014,3401,3777
13,0.20217426567312047,0.21351717154608985,68.15127073741913,69.24140430632889,0.32,0.001,387,755,1137,1516,1903,2265,2657,3013,3401,3777
14,0.20781089946442022,0.22029892552276642,67.91010041430692,68.9422312519692,0.33,0.001,387,755,1137,1517,1904,2265,2656,3012,3402,3776
15,0.21319365389641765,0.22641621261095346,67.67899083749144,68.67124750850971,0.35,0.001,387,754,1137,1517,1904,2265,2656,3011,3402,3776
16,0.220586650378517,0.2338848609541596,67.36027929397636,68.33894873395771,0.36,0.001,388,753,1138,1518,1905,2266,2656,3011,3402,3776
17,0.22763434919884895,0.24061086591467018,67.0550402130127,68.0382977516156,0.37,0.001,388,753,1138,1518,1906,2266,2656,3010,3402,3776
18,0.23287962992743638,0.24576861673686468,66.82696142604047,67.80684740265912,0.39,0.001,388,752,1139,1519,1907,2267,2656,3009,3403,3776
19,0.23860392178888978,0.2517163131956104,66.57715874386838,67.53896806312079,0.4,0.001,389,751,1139,1519,1907,2267,2656,3008,3403,3776
20,0.24565029249370207,0.25930668262911216,66.2683752524064,67.19554457653796,0.41,0.001,389,750,1140,1520,1908,2267,2656,3007,3404,3776
21,0.25210561490597705,0.2664543719607324,65.98421775081903,66.87054234559302,0.43,0.001,390,750,1140,1521,1909,2267,2656,3006,3404,3776
22,0.2580289063829343,0.27292169837721914,65.72240167576996,66.57510517382792,0.44,0.001,390,749,1141,1521,1910,2267,2656,3005,3404,3776
23,0.2649900235543312,0.28004104469135416,65.41337903097501,66.24836377696434,0.45,0.001,390,748,1141,1522,1911,2266,2656,3004,3405,3776
24,0.2721741201713397,0.28719201029351504,65.09290986015681,65.91853622440921,0.47,0.001,391,748,1142,1523,1912,2266,2656,3003,3406,3776
25,0.2784710540978278,0.293605486752069,64.81071447636957,65.62131686092943,0.48,0.001,391,747,1143,1523,1912,2266,2656,3003,3406,3776
26,0.2850586612868473,0.3005531322472006,64.51417752372342,65.29781159593904,0.49,0.001,391,746,1144,1524,1913,2266,2657,3002,3407,3776
27,0.2921725802696009,0.30821428209619484,64.19240259393045,64.93921812573085,0.51,0.001,392,745,1144,1525,1914,2266,2657,3001,3407,3776
28,0.29896003527036663,0.31548542342523,63.88388973119514,64.59703819642198,0.52,0.001,392,745,1145,1526,1915,2266,2657,3000,3408,3777
29,0.3065732959796522,0.32348376059514383,63.536053372278325,64.2185333025541,0.53,0.001,392,744,1146,1526,1916,2266,2657,2999,3409,3777
30,0.313939188266286,0.330888332746326,63.19769754199416,63.86612432219056,0.55,0.001,393,743,1147,1527,1916,2266,2658,2998,3409,3777
31,0.3206253009966239,0.33751235558206805,62.888992603038254,63.54920891030037,0.56,0.001,393,742,1148,1528,1917,2266,2658,2997,3410,3777
32,0.32732260577082606,0.34426261851827045,62.57824399177201,63.22462165330153,0.57,0.001,394,742,1149,1528,1918,2266,2658,2997,3411,3777
33,0.3344931498738729,0.35164649359622413,62.243818719210985,62.86764331650961,0.59,0.001,394,741,1150,1529,1919,2266,2658,2996,3411,3777
34,0.3413875774622457,0.3587733649053485,61.92056206026698,62.521160480372565,0.6,0.001,394,740,1151,1530,1920,2266,2658,2995,3412,3777
35,0.3485294468530121,0.3659476175964145,61.5839251264839,62.17042400606377,0.62,0.001,395,739,1152,1531,1920,2266,2658,2994,3413,3778
36,0.3558982990959336,0.3731438163154789,61.23464212751124,61.81661347220402,0.63,0.001,395,738,1153,1532,1921,2265,2658,2994,3414,3778
37,0.36312367544038526,0.3802219441636717,60.89021603018932,61.466623072632885,0.64,0.001,395,738,1154,1532,1922,2265,2658,2993,3414,3778
